GO Highest Offense Desc,Highest NIBRS/UCR Offense Description,GO Report Date,GO Location,Clearance Date,GO Location Zip
THEFT                         ,Theft: All Other Larceny,06/26/2014 12:00:00 AM,3300 FOOTHILL DR                                                                                    ,07/17/2014 12:00:00 AM,78731.0
AUTO THEFT                    ,Auto Theft,07/05/2014 12:00:00 AM,4500 BLOCK CRAIGWOOD DR                                                                             ,10/02/2014 12:00:00 AM,78725.0
BURGLARY OF VEHICLE           ,Theft: BOV,05/12/2014 12:00:00 AM,1719 BLUEBONNET LN                                                                                  ,05/14/2014 12:00:00 AM,78704.0
BURGLARY OF RESIDENCE         ,"Burglary / 
Breaking & Entering",10/20/2014 12:00:00 AM,1227 NEWNING AVE                                                                                    ,10/31/2014 12:00:00 AM,78704.0
THEFT                         ,Theft: All Other Larceny,03/21/2014 12:00:00 AM,10800 PLAINS TRL                                                                                    ,03/27/2014 12:00:00 AM,78758.0
RAPE                          ,Rape,04/26/2014 12:00:00 AM,,04/28/2014 12:00:00 AM,78745.0
THEFT                         ,Theft: All Other Larceny,04/16/2014 12:00:00 AM,11525 STONEHOLLOW DR                                                                                ,04/17/2014 12:00:00 AM,78758.0
THEFT                         ,Theft: All Other Larceny,08/30/2014 12:00:00 AM,601 E 15TH ST                                                                                       ,09/02/2014 12:00:00 AM,78701.0
BURGLARY OF VEHICLE           ,Theft: BOV,08/14/2014 12:00:00 AM,12137 TUMBLING CREEK TRL                                                                            ,08/21/2014 12:00:00 AM,78748.0
BURGLARY OF VEHICLE           ,Theft: BOV,08/27/2014 12:00:00 AM,907 W SLAUGHTER LN                                                                                  ,09/02/2014 12:00:00 AM,78748.0
DEADLY CONDUCT                ,Aggravated Assault,11/29/2014 12:00:00 AM,5100 PAR CV                                                                                         ,12/17/2014 12:00:00 AM,78744.0
BURG NON RESIDENCE SHEDS      ,"Burglary / 
Breaking & Entering",07/19/2014 12:00:00 AM,6604 BERKMAN DR                                                                                     ,07/24/2014 12:00:00 AM,78723.0
THEFT BY SHOPLIFTING          ,Theft: Shoplifting,06/05/2014 12:00:00 AM,9414 N LAMAR BLVD                                                                                   ,06/06/2014 12:00:00 AM,78758.0
THEFT                         ,Theft: All Other Larceny,05/30/2014 12:00:00 AM,901 S CAPITAL OF TEXAS HWY NB                                                                       ,08/20/2014 12:00:00 AM,78746.0
BURGLARY OF RESIDENCE         ,"Burglary / 
Breaking & Entering",04/17/2014 12:00:00 AM,2501 ANKEN DR                                                                                       ,05/05/2014 12:00:00 AM,78741.0
THEFT                         ,Theft: All Other Larceny,06/06/2014 12:00:00 AM,2504 NEW YORK DR                                                                                    ,06/17/2014 12:00:00 AM,78702.0
THEFT BY SHOPLIFTING          ,Theft: Shoplifting,01/31/2014 12:00:00 AM,2508 E RIVERSIDE DR                                                                                 ,02/03/2014 12:00:00 AM,78741.0
THEFT BY SHOPLIFTING          ,Theft: Shoplifting,11/19/2014 12:00:00 AM,2901 S CAPITAL OF TEXAS HWY NB                                                                      ,11/20/2014 12:00:00 AM,78746.0
THEFT                         ,Theft: All Other Larceny,05/16/2014 12:00:00 AM,8601 RESEARCH BLVD SVRD NB                                                                          ,,78758.0
BURGLARY OF VEHICLE           ,Theft: BOV,03/03/2014 12:00:00 AM,10701 CAROVILLI DR                                                                                  ,03/06/2014 12:00:00 AM,78748.0
THEFT                         ,Theft: All Other Larceny,05/08/2014 12:00:00 AM,12989 N US 183 HWY SVRD NB                                                                          ,05/09/2014 12:00:00 AM,78729.0
AGG ASSAULT                   ,Aggravated Assault,04/01/2014 12:00:00 AM,BOLM RD / AIRPORT BLVD                                                                              ,04/18/2014 12:00:00 AM,78721.0
THEFT                         ,Theft: All Other Larceny,08/08/2014 12:00:00 AM,4504 FRONTIER TRL                                                                                   ,09/10/2014 12:00:00 AM,78745.0
THEFT                         ,Theft: All Other Larceny,12/23/2014 12:00:00 AM,7517 CAMERON RD                                                                                     ,01/06/2015 12:00:00 AM,78752.0
BURGLARY OF VEHICLE           ,Theft: BOV,08/31/2014 12:00:00 AM,1803 E CESAR CHAVEZ ST                                                                              ,09/03/2014 12:00:00 AM,78702.0
THEFT BY SHOPLIFTING          ,Theft: Shoplifting,04/06/2014 12:00:00 AM,10111 N LAMAR BLVD                                                                                  ,09/03/2014 12:00:00 AM,78753.0
THEFT OF AUTO PARTS           ,Theft: Auto Parts,07/27/2014 12:00:00 AM,6201 MERCEDES BND                                                                                   ,07/28/2014 12:00:00 AM,78759.0
AGG ASLT ENHANC STRANGL/SUFFOC,Aggravated Assault,01/14/2014 12:00:00 AM,906 1/2 E 38TH ST                                                                                   ,02/14/2014 12:00:00 AM,78751.0
THEFT                         ,Theft: All Other Larceny,09/23/2014 12:00:00 AM,2104 BERKETT DR                                                                                     ,09/30/2014 12:00:00 AM,78745.0
AUTO THEFT                    ,Auto Theft,03/01/2014 12:00:00 AM,12989 RESEARCH BLVD NB                                                                              ,03/02/2014 12:00:00 AM,
BURGLARY OF VEHICLE           ,Theft: BOV,12/10/2014 12:00:00 AM,9012 RESEARCH BLVD SVRD SB                                                                          ,12/12/2014 12:00:00 AM,78757.0
BURGLARY OF VEHICLE           ,Theft: BOV,09/18/2014 12:00:00 AM,300 CONGRESS AVE                                                                                    ,10/07/2014 12:00:00 AM,78701.0
AUTO THEFT                    ,Auto Theft,10/29/2014 12:00:00 AM,11511 METRIC BLVD                                                                                   ,10/30/2014 12:00:00 AM,78758.0
BURGLARY OF VEHICLE           ,Theft: BOV,01/16/2014 12:00:00 AM,9215 GREAT HILLS TRL                                                                                ,01/17/2014 12:00:00 AM,78759.0
THEFT                         ,Theft: All Other Larceny,01/09/2014 12:00:00 AM,1030 NORWOOD PARK BLVD                                                                              ,01/10/2014 12:00:00 AM,78753.0
THEFT                         ,Theft: All Other Larceny,07/22/2014 12:00:00 AM,5808 BURNET RD                                                                                      ,08/13/2014 12:00:00 AM,78756.0
BURGLARY OF VEHICLE           ,Theft: BOV,04/01/2014 12:00:00 AM,30 ESPINOSA DR                                                                                      ,04/02/2014 12:00:00 AM,78744.0
AGG ASSAULT                   ,Aggravated Assault,04/08/2014 12:00:00 AM,500 E 7TH ST                                                                                        ,04/08/2014 12:00:00 AM,78701.0
BURGLARY OF VEHICLE           ,Theft: BOV,10/08/2014 12:00:00 AM,2250 RIDGEPOINT DR                                                                                  ,10/20/2014 12:00:00 AM,78754.0
BURGLARY OF VEHICLE           ,Theft: BOV,04/16/2014 12:00:00 AM,2515 PEARL ST                                                                                       ,04/20/2014 12:00:00 AM,78705.0
THEFT                         ,Theft: All Other Larceny,03/20/2014 12:00:00 AM,9100 WATERFORD CENTRE BLVD                                                                          ,05/12/2014 12:00:00 AM,78758.0
THEFT                         ,Theft: All Other Larceny,11/19/2014 12:00:00 AM,1200 E PARMER LN                                                                                    ,11/19/2014 12:00:00 AM,78753.0
THEFT                         ,Theft: All Other Larceny,08/07/2014 12:00:00 AM,7112 ED BLUESTEIN BLVD SVRD SB                                                                      ,12/29/2014 12:00:00 AM,78723.0
THEFT                         ,Theft: All Other Larceny,04/17/2014 12:00:00 AM,8540 ADIRONDACK TRL                                                                                 ,05/22/2014 12:00:00 AM,78759.0
THEFT BY SHOPLIFTING          ,Theft: Shoplifting,08/13/2014 12:00:00 AM,107 W STASSNEY LN                                                                                   ,09/10/2014 12:00:00 AM,78745.0
BURGLARY OF VEHICLE           ,Theft: BOV,02/10/2014 12:00:00 AM,1800 E STASSNEY LN                                                                                  ,02/13/2014 12:00:00 AM,78744.0
THEFT                         ,Theft: All Other Larceny,06/26/2014 12:00:00 AM,8225 N FM 620 RD                                                                                    ,12/05/2014 12:00:00 AM,78726.0
AUTO THEFT                    ,Auto Theft,11/21/2014 12:00:00 AM,7100 N IH 35 SVRD SB                                                                                ,11/23/2014 12:00:00 AM,78752.0
THEFT                         ,Theft: All Other Larceny,11/07/2014 12:00:00 AM,4825 DAVIS LN                                                                                       ,12/03/2014 12:00:00 AM,78749.0
AUTO THEFT                    ,Auto Theft,01/04/2014 12:00:00 AM,4504 FRANKLIN PARK DR                                                                               ,01/14/2014 12:00:00 AM,78744.0
THEFT BY SHOPLIFTING          ,Theft: Shoplifting,10/08/2014 12:00:00 AM,823 CONGRESS AVE                                                                                    ,10/09/2014 12:00:00 AM,78701.0
THEFT                         ,Theft: All Other Larceny,12/19/2014 12:00:00 AM,1167 WEBBERVILLE RD                                                                                 ,01/27/2015 12:00:00 AM,78721.0
BURGLARY OF VEHICLE           ,Theft: BOV,09/30/2014 12:00:00 AM,13310 BENNINGTON LN                                                                                 ,10/03/2014 12:00:00 AM,78753.0
BURGLARY OF RESIDENCE         ,"Burglary / 
Breaking & Entering",04/18/2014 12:00:00 AM,4700 E RIVERSIDE DR                                                                                 ,05/13/2014 12:00:00 AM,78741.0
BURGLARY OF RESIDENCE         ,"Burglary / 
Breaking & Entering",09/15/2014 12:00:00 AM,5310 PONCIANA DR                                                                                    ,09/23/2014 12:00:00 AM,78744.0
BURGLARY OF VEHICLE           ,Theft: BOV,03/19/2014 12:00:00 AM,3300 PARKER LN                                                                                      ,03/25/2014 12:00:00 AM,78741.0
BURGLARY OF VEHICLE           ,Theft: BOV,05/12/2014 12:00:00 AM,8312 N IH 35 SVRD SB                                                                                ,05/20/2014 12:00:00 AM,78753.0
BURGLARY OF RESIDENCE         ,"Burglary / 
Breaking & Entering",11/24/2014 12:00:00 AM,1701 ALEGRIA RD                                                                                     ,12/03/2014 12:00:00 AM,78757.0
THEFT BY SHOPLIFTING          ,Theft: Shoplifting,09/24/2014 12:00:00 AM,12250 RESEARCH BLVD NB                                                                              ,09/30/2014 12:00:00 AM,78727.0
THEFT BY SHOPLIFTING          ,Theft: Shoplifting,10/06/2014 12:00:00 AM,1000 E 41ST ST                                                                                      ,10/13/2014 12:00:00 AM,78751.0
AUTO THEFT                    ,Auto Theft,10/31/2014 12:00:00 AM,9435 MIDDLE FISKVILLE RD                                                                            ,05/24/2015 12:00:00 AM,78753.0
BURGLARY OF RESIDENCE         ,"Burglary / 
Breaking & Entering",10/05/2014 12:00:00 AM,12041 DESSAU RD                                                                                     ,10/09/2014 12:00:00 AM,78754.0
THEFT OF AUTO PARTS           ,Theft: Auto Parts,05/05/2014 12:00:00 AM,10504 PLAINS TRL                                                                                    ,05/05/2014 12:00:00 AM,78758.0
MURDER                        ,Homicide: Murder & Nonnegligent Manslaughter,10/28/2014 12:00:00 AM,2606 WHELESS LN                                                                                     ,01/29/2015 12:00:00 AM,78723.0
AUTO THEFT                    ,Auto Theft,05/18/2014 12:00:00 AM,1651 CHIPPEWAY LN                                                                                   ,05/18/2014 12:00:00 AM,78745.0
BURGLARY OF VEHICLE           ,Theft: BOV,10/09/2014 12:00:00 AM,9070 RESEARCH BLVD SB                                                                               ,10/20/2014 12:00:00 AM,78757.0
BURGLARY OF VEHICLE           ,Theft: BOV,11/21/2014 12:00:00 AM,2239 CROMWELL CIR                                                                                   ,11/21/2014 12:00:00 AM,78741.0
THEFT OF BICYCLE              ,Theft: All Other Larceny,07/22/2014 12:00:00 AM,3309 HARRIS PARK AVE                                                                                ,07/25/2014 12:00:00 AM,78705.0
BURGLARY OF RESIDENCE         ,"Burglary / 
Breaking & Entering",06/19/2014 12:00:00 AM,1419 TALL SHADOWS DR                                                                                ,06/25/2014 12:00:00 AM,78617.0
BURGLARY OF VEHICLE           ,Theft: BOV,06/19/2014 12:00:00 AM,715 W SLAUGHTER LN                                                                                  ,06/24/2014 12:00:00 AM,78748.0
THEFT                         ,Theft: All Other Larceny,03/31/2014 12:00:00 AM,2304 LAKE AUSTIN BLVD                                                                               ,,78703.0
THEFT                         ,Theft: All Other Larceny,11/09/2014 12:00:00 AM,701 CONGRESS AVE                                                                                    ,11/18/2014 12:00:00 AM,78701.0
THEFT BY SHOPLIFTING          ,Theft: Shoplifting,01/27/2014 12:00:00 AM,710 E BEN WHITE BLVD SVRD WB                                                                        ,,78704.0
THEFT                         ,Theft: All Other Larceny,04/30/2014 12:00:00 AM,701 W 28TH ST                                                                                       ,05/09/2014 12:00:00 AM,78705.0
BURGLARY OF RESIDENCE         ,"Burglary / 
Breaking & Entering",02/08/2014 12:00:00 AM,9009 NORTH PLZ                                                                                      ,03/03/2014 12:00:00 AM,78753.0
THEFT                         ,Theft: All Other Larceny,04/23/2014 12:00:00 AM,1030 NORWOOD PARK BLVD                                                                              ,06/09/2014 12:00:00 AM,78753.0
BURGLARY OF VEHICLE           ,Theft: BOV,11/04/2014 12:00:00 AM,11680 RESEARCH BLVD SVRD SB                                                                         ,11/05/2014 12:00:00 AM,78759.0
AGG ASLT ENHANC STRANGL/SUFFOC,Aggravated Assault,02/04/2014 12:00:00 AM,E 13TH ST / CEDAR AVE                                                                               ,02/27/2014 12:00:00 AM,78702.0
BURGLARY OF VEHICLE           ,Theft: BOV,05/17/2014 12:00:00 AM,NAVASOTA ST / E 6TH ST                                                                              ,05/21/2014 12:00:00 AM,78702.0
THEFT FROM PERSON             ,Theft: Pocket Picking,05/31/2014 12:00:00 AM,7545 N LAMAR BLVD                                                                                   ,06/05/2014 12:00:00 AM,78752.0
THEFT OF AUTO PARTS           ,Theft: Auto Parts,09/11/2014 12:00:00 AM,7500 BENNETT AVE                                                                                    ,09/11/2014 12:00:00 AM,78752.0
THEFT                         ,Theft: All Other Larceny,06/23/2014 12:00:00 AM,11432 PTARMIGAN DR                                                                                  ,07/14/2014 12:00:00 AM,78758.0
AUTO THEFT                    ,Auto Theft,09/18/2014 12:00:00 AM,1600 TOOMEY RD                                                                                      ,09/26/2014 12:00:00 AM,78704.0
BURGLARY OF RESIDENCE         ,"Burglary / 
Breaking & Entering",10/17/2014 12:00:00 AM,1124 RUTLAND DR                                                                                     ,10/25/2014 12:00:00 AM,78758.0
THEFT                         ,Theft: All Other Larceny,11/02/2014 12:00:00 AM,12424 RESEARCH BLVD SVRD SB                                                                         ,11/03/2014 12:00:00 AM,78759.0
AGG ROBBERY/DEADLY WEAPON     ,Robbery,04/01/2014 12:00:00 AM,2223 BURTON DR                                                                                      ,04/02/2014 12:00:00 AM,78741.0
THEFT BY SHOPLIFTING          ,Theft: Shoplifting,11/08/2014 12:00:00 AM,12900 N IH 35 SB                                                                                    ,,78753.0
THEFT BY SHOPLIFTING          ,Theft: Shoplifting,02/20/2014 12:00:00 AM,2508 E RIVERSIDE DR                                                                                 ,02/25/2014 12:00:00 AM,78741.0
THEFT                         ,Theft: All Other Larceny,10/28/2014 12:00:00 AM,2110 SPEEDWAY                                                                                       ,11/03/2014 12:00:00 AM,78705.0
THEFT BY SHOPLIFTING          ,Theft: Shoplifting,07/07/2014 12:00:00 AM,1030 NORWOOD PARK BLVD                                                                              ,07/08/2014 12:00:00 AM,78753.0
THEFT                         ,Theft: All Other Larceny,01/06/2014 12:00:00 AM,2300 W BEN WHITE BLVD SVRD WB                                                                       ,01/07/2014 12:00:00 AM,78704.0
THEFT BY SHOPLIFTING          ,Theft: Shoplifting,01/01/2014 12:00:00 AM,12901 N IH 35 SVRD NB                                                                               ,02/21/2014 12:00:00 AM,78753.0
ROBBERY BY ASSAULT            ,Robbery,06/22/2014 12:00:00 AM,5804 S CONGRESS AVE                                                                                 ,08/27/2014 12:00:00 AM,78745.0
BURGLARY OF RESIDENCE         ,"Burglary / 
Breaking & Entering",04/04/2014 12:00:00 AM,1112 GUNTER ST                                                                                      ,04/29/2014 12:00:00 AM,78702.0
BURGLARY OF VEHICLE           ,Theft: BOV,06/22/2014 12:00:00 AM,9212 BENTLEY GARNER LN                                                                              ,06/25/2014 12:00:00 AM,78748.0
BURGLARY OF VEHICLE           ,Theft: BOV,09/19/2014 12:00:00 AM,10615 CLAYWOOD DR                                                                                   ,09/25/2014 12:00:00 AM,78753.0
THEFT                         ,Theft: All Other Larceny,11/11/2014 12:00:00 AM,514 E 6TH ST                                                                                        ,11/13/2014 12:00:00 AM,78701.0
THEFT                         ,Theft: All Other Larceny,09/02/2014 12:00:00 AM,2008 TERI RD                                                                                        ,09/18/2014 12:00:00 AM,78744.0
THEFT                         ,Theft: All Other Larceny,06/28/2014 12:00:00 AM,15424 FM 1825 RD                                                                                    ,06/29/2014 12:00:00 AM,78660.0
BURGLARY OF VEHICLE           ,Theft: BOV,11/13/2014 12:00:00 AM,501 LONE OAK DR                                                                                     ,11/14/2014 12:00:00 AM,78704.0
THEFT                         ,Theft: All Other Larceny,02/04/2014 12:00:00 AM,7316 CAMERON RD                                                                                     ,04/14/2014 12:00:00 AM,78752.0
AUTO THEFT                    ,Auto Theft,03/13/2014 12:00:00 AM,1600 E 4TH ST                                                                                       ,03/14/2014 12:00:00 AM,78702.0
BURGLARY OF VEHICLE           ,Theft: BOV,12/19/2014 12:00:00 AM,2208 S LAMAR BLVD                                                                                   ,01/01/2015 12:00:00 AM,78704.0
THEFT                         ,Theft: All Other Larceny,02/03/2014 12:00:00 AM,E 6TH ST / TRINITY ST                                                                               ,02/04/2014 12:00:00 AM,78701.0
BURGLARY OF RESIDENCE         ,"Burglary / 
Breaking & Entering",04/05/2014 12:00:00 AM,217 LOGANBERRY CT                                                                                   ,04/05/2014 12:00:00 AM,78745.0
BURGLARY OF VEHICLE           ,Theft: BOV,07/28/2014 12:00:00 AM,12110 LAVINIA LN                                                                                    ,07/29/2014 12:00:00 AM,78753.0
BURGLARY OF VEHICLE           ,Theft: BOV,05/14/2014 12:00:00 AM,2200 PARK BEND DR                                                                                   ,05/19/2014 12:00:00 AM,78758.0
BURGLARY OF COIN-OP MACHINE   ,Theft: Coin Op Machine,05/19/2014 12:00:00 AM,4009 VICTORY DR                                                                                     ,05/20/2014 12:00:00 AM,78704.0
THEFT                         ,Theft: All Other Larceny,02/28/2014 12:00:00 AM,2525 W ANDERSON LN                                                                                  ,03/03/2014 12:00:00 AM,78757.0
THEFT BY SHOPLIFTING          ,Theft: Shoplifting,03/16/2014 12:00:00 AM,2901 S CAPITAL OF TEXAS HWY NB                                                                      ,03/28/2014 12:00:00 AM,78746.0
BURGLARY OF VEHICLE           ,Theft: BOV,08/22/2014 12:00:00 AM,117 W WILLIAM CANNON DR                                                                             ,08/27/2014 12:00:00 AM,78745.0
BURGLARY OF RESIDENCE         ,"Burglary / 
Breaking & Entering",03/05/2014 12:00:00 AM,6701 CARISBROOKE LN                                                                                 ,03/19/2014 12:00:00 AM,78754.0
THEFT OF BICYCLE              ,Theft: All Other Larceny,12/01/2014 12:00:00 AM,2401 SAN GABRIEL ST                                                                                 ,12/10/2014 12:00:00 AM,78705.0
THEFT BY SHOPLIFTING          ,Theft: Shoplifting,09/15/2014 12:00:00 AM,2508 E RIVERSIDE DR                                                                                 ,09/16/2014 12:00:00 AM,78741.0
THEFT                         ,Theft: All Other Larceny,05/16/2014 12:00:00 AM,500 E 7TH ST                                                                                        ,05/16/2014 12:00:00 AM,78701.0
THEFT                         ,Theft: All Other Larceny,05/21/2014 12:00:00 AM,2103 W ANDERSON LN                                                                                  ,06/06/2014 12:00:00 AM,78757.0
BURGLARY OF VEHICLE           ,Theft: BOV,11/25/2014 12:00:00 AM,1200 E 5TH ST                                                                                       ,12/11/2014 12:00:00 AM,78702.0
THEFT                         ,Theft: All Other Larceny,11/01/2014 12:00:00 AM,E 6TH ST / CONGRESS AVE                                                                             ,,78701.0
BURGLARY OF RESIDENCE         ,"Burglary / 
Breaking & Entering",05/28/2014 12:00:00 AM,1401 E RUNDBERG LN                                                                                  ,06/05/2014 12:00:00 AM,78753.0
BURGLARY OF VEHICLE           ,Theft: BOV,11/05/2014 12:00:00 AM,1705 FRONTIER VALLEY DR                                                                             ,11/10/2014 12:00:00 AM,78741.0
THEFT FROM AUTO               ,Theft: BOV,12/03/2014 12:00:00 AM,6205 WAGON BEND TRL                                                                                 ,12/09/2014 12:00:00 AM,78744.0
BURGLARY OF RESIDENCE         ,"Burglary / 
Breaking & Entering",07/02/2014 12:00:00 AM,1304 ROBERT E LEE RD                                                                                ,07/17/2014 12:00:00 AM,78704.0
THEFT                         ,Theft: All Other Larceny,03/26/2014 12:00:00 AM,2900 DANCY ST                                                                                       ,04/04/2014 12:00:00 AM,78722.0
THEFT OF LICENSE PLATE        ,Theft: All Other Larceny,08/26/2014 12:00:00 AM,4646 CHATEAU VILLAGE WAY                                                                            ,08/27/2014 12:00:00 AM,78744.0
BURGLARY OF COIN-OP MACHINE   ,Theft: Coin Op Machine,02/24/2014 12:00:00 AM,11113 RESEARCH BLVD SVRD NB                                                                         ,02/27/2014 12:00:00 AM,78759.0
BURGLARY OF VEHICLE           ,Theft: BOV,06/17/2014 12:00:00 AM,8901 BUSINESS PARK DR                                                                               ,06/18/2014 12:00:00 AM,78759.0
AGG ASSAULT                   ,Aggravated Assault,12/29/2014 12:00:00 AM,9027 NORTHGATE BLVD                                                                                 ,01/14/2015 12:00:00 AM,78758.0
BURGLARY OF VEHICLE           ,Theft: BOV,03/25/2014 12:00:00 AM,6704 GOLD MOSS CV                                                                                   ,03/26/2014 12:00:00 AM,78745.0
THEFT BY SHOPLIFTING          ,Theft: Shoplifting,10/09/2014 12:00:00 AM,2901 S CAPITAL OF TEXAS HWY NB                                                                      ,10/14/2014 12:00:00 AM,78746.0
BURGLARY OF VEHICLE           ,Theft: BOV,08/13/2014 12:00:00 AM,2901 S CAPITAL OF TEXAS HWY NB                                                                      ,08/21/2014 12:00:00 AM,78746.0
THEFT                         ,Theft: All Other Larceny,12/15/2014 12:00:00 AM,2806 PRADO ST                                                                                       ,01/26/2015 12:00:00 AM,78702.0
AGG ROBBERY/DEADLY WEAPON     ,Robbery,10/10/2014 12:00:00 AM,7800 N IH 35 SVRD SB                                                                                ,11/25/2014 12:00:00 AM,78753.0
THEFT                         ,Theft: All Other Larceny,06/15/2014 12:00:00 AM,500 E 8TH ST                                                                                        ,07/17/2014 12:00:00 AM,78701.0
THEFT                         ,Theft: All Other Larceny,06/06/2014 12:00:00 AM,2508 E RIVERSIDE DR                                                                                 ,06/30/2014 12:00:00 AM,78741.0
THEFT FROM AUTO               ,Theft: BOV,04/04/2014 12:00:00 AM,6801 TULANE DR                                                                                      ,04/21/2014 12:00:00 AM,78723.0
THEFT                         ,Theft: All Other Larceny,06/10/2014 12:00:00 AM,2607 S IH 35 SVRD NB                                                                                ,08/07/2014 12:00:00 AM,78741.0
THEFT                         ,Theft: All Other Larceny,11/02/2014 12:00:00 AM,710 W 6TH ST                                                                                        ,11/05/2014 12:00:00 AM,78701.0
THEFT                         ,Theft: All Other Larceny,05/18/2014 12:00:00 AM,3901 EDWARDS MOUNTAIN DR                                                                            ,06/10/2014 12:00:00 AM,78731.0
THEFT BY SHOPLIFTING          ,Theft: Shoplifting,06/03/2014 12:00:00 AM,525 N LAMAR BLVD                                                                                    ,06/05/2014 12:00:00 AM,78703.0
AGG ASSAULT                   ,Aggravated Assault,04/20/2014 12:00:00 AM,2017 GREENBROOK PKWY                                                                                ,04/24/2014 12:00:00 AM,78723.0
THEFT OF BICYCLE              ,Theft: All Other Larceny,08/12/2014 12:00:00 AM,6313 CRUMLEY LN                                                                                     ,08/12/2014 12:00:00 AM,78741.0
AGG ASSAULT                   ,Aggravated Assault,03/22/2014 12:00:00 AM,1881 GROVE BLVD                                                                                     ,03/23/2014 12:00:00 AM,78741.0
THEFT                         ,Theft: All Other Larceny,01/06/2014 12:00:00 AM,6121 N IH 35 NB                                                                                     ,01/24/2014 12:00:00 AM,78752.0
AGG ASSAULT                   ,Aggravated Assault,09/20/2014 12:00:00 AM,1030 NORWOOD PARK BLVD                                                                              ,09/24/2014 12:00:00 AM,78753.0
BURGLARY OF VEHICLE           ,Theft: BOV,08/16/2014 12:00:00 AM,2220 E RIVERSIDE DR                                                                                 ,08/18/2014 12:00:00 AM,78741.0
THEFT BY SHOPLIFTING          ,Theft: Shoplifting,06/11/2014 12:00:00 AM,1030 NORWOOD PARK BLVD                                                                              ,07/02/2014 12:00:00 AM,78753.0
BURGLARY OF VEHICLE           ,Theft: BOV,04/29/2014 12:00:00 AM,611 TRINITY ST                                                                                      ,05/17/2014 12:00:00 AM,78701.0
BURGLARY OF VEHICLE           ,Theft: BOV,07/30/2014 12:00:00 AM,500 COMAL ST                                                                                        ,08/04/2014 12:00:00 AM,78702.0
RAPE                          ,Rape,04/06/2014 12:00:00 AM,,05/12/2014 12:00:00 AM,78702.0
THEFT                         ,Theft: All Other Larceny,09/08/2014 12:00:00 AM,710 E BEN WHITE BLVD WB                                                                             ,09/09/2014 12:00:00 AM,78704.0
BURGLARY OF VEHICLE           ,Theft: BOV,10/03/2014 12:00:00 AM,11012 GEORGIAN DR                                                                                   ,10/10/2014 12:00:00 AM,78753.0
BURGLARY OF VEHICLE           ,Theft: BOV,12/17/2014 12:00:00 AM,12332 THOMPKINS DR                                                                                  ,12/18/2014 12:00:00 AM,78753.0
BURGLARY OF VEHICLE           ,Theft: BOV,05/16/2014 12:00:00 AM,1801 POQUITO ST                                                                                     ,05/29/2014 12:00:00 AM,78702.0
BURGLARY OF VEHICLE           ,Theft: BOV,01/30/2014 12:00:00 AM,3316 GUADALUPE ST                                                                                   ,02/04/2014 12:00:00 AM,78705.0
THEFT                         ,Theft: All Other Larceny,02/02/2014 12:00:00 AM,7016 SUNDERLAND TRL                                                                                 ,03/05/2014 12:00:00 AM,78747.0
THEFT                         ,Theft: All Other Larceny,02/01/2014 12:00:00 AM,2607 S IH 35 NB                                                                                     ,02/03/2014 12:00:00 AM,78741.0
AUTO THEFT                    ,Auto Theft,04/07/2014 12:00:00 AM,3902 PALOMAR LN                                                                                     ,06/17/2014 12:00:00 AM,78727.0
THEFT FROM AUTO               ,Theft: BOV,07/25/2014 12:00:00 AM,2500 WINCHELL LN                                                                                    ,,78725.0
THEFT BY SHOPLIFTING          ,Theft: Shoplifting,06/21/2014 12:00:00 AM,525 N LAMAR BLVD                                                                                    ,06/22/2014 12:00:00 AM,78703.0
BURGLARY OF VEHICLE           ,Theft: BOV,07/13/2014 12:00:00 AM,1510 TOOMEY RD                                                                                      ,07/15/2014 12:00:00 AM,78704.0
THEFT BY SHOPLIFTING          ,Theft: Shoplifting,12/22/2014 12:00:00 AM,2901 S CAPITAL OF TEXAS HWY NB                                                                      ,12/23/2014 12:00:00 AM,78746.0
BURGLARY NON RESIDENCE        ,"Burglary / 
Breaking & Entering",11/21/2014 12:00:00 AM,1500 BARTON SPRINGS RD                                                                              ,12/10/2014 12:00:00 AM,78704.0
BURGLARY OF VEHICLE           ,Theft: BOV,02/14/2014 12:00:00 AM,9504 NIGHT STAR DR                                                                                  ,02/17/2014 12:00:00 AM,78617.0
THEFT BY SHOPLIFTING          ,Theft: Shoplifting,06/14/2014 12:00:00 AM,3431 W WILLIAM CANNON DR                                                                            ,06/29/2014 12:00:00 AM,78745.0
BURGLARY OF RESIDENCE         ,"Burglary / 
Breaking & Entering",10/25/2014 12:00:00 AM,911 E 3RD ST                                                                                        ,10/28/2014 12:00:00 AM,78702.0
THEFT                         ,Theft: All Other Larceny,02/27/2014 12:00:00 AM,2400 S CONGRESS AVE                                                                                 ,,78704.0
BURGLARY OF RESIDENCE         ,"Burglary / 
Breaking & Entering",03/09/2014 12:00:00 AM,6001 RANDLEMAN DR                                                                                   ,03/21/2014 12:00:00 AM,78617.0
BURGLARY OF RESIDENCE         ,"Burglary / 
Breaking & Entering",11/13/2014 12:00:00 AM,1101 GROVE BLVD                                                                                     ,11/19/2014 12:00:00 AM,78741.0
BURGLARY OF RESIDENCE         ,"Burglary / 
Breaking & Entering",09/16/2014 12:00:00 AM,2906 WEST AVE                                                                                       ,09/23/2014 12:00:00 AM,78705.0
BURGLARY OF VEHICLE           ,Theft: BOV,04/09/2014 12:00:00 AM,820 BLACKSON AVE                                                                                    ,04/15/2014 12:00:00 AM,78752.0
